ID,SEX,SITE,Subsp,HABITAT,AREA,DENS,GR,FEM,MAL,IMM,%FE,%TR,%RE,%PLAY,OBSHR,PLAYSEC,OBSSEC,IM.RATIO,NOPLAYSECS,ad_ad_play,ad_im_play,mix_play,non_ad_ad_play,non_ad_im_play,non_mix_play
Gt,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.213644284,207.25,1594,746100,0.444444444,744506,1534,0,60,744566,746100,746040
Pl,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.094759416,207.25,707,746100,0.444444444,745393,602,0,105,745498,746100,745995
Yz,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.421927356,207.25,3148,746100,0.444444444,742952,2876,65,207,743224,746035,745893
an,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.089444444,0.743888889,0.72962963,300,7880,1080000,0.2,1072120,5652,625,1603,1074348,1079375,1078397
ch,m,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.063888889,0.744444444,0.264351852,300,2855,1080000,0.2,1077145,2110,0,745,1077890,1080000,1079255
el,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.061833333,0.707,0.665277778,300,7185,1080000,0.2,1072815,5027,830,1328,1074973,1079170,1078672
li,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.062,0.692,0.179166667,300,1935,1080000,0.2,1078065,642,0,1293,1079358,1080000,1078707
so,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.033333333,0.605555556,0.311111111,300,3360,1080000,0.2,1076640,2750,0,610,1077250,1080000,1079390
do,m,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.067333333,0.722666667,0.316666667,300,3420,1080000,0.75,1076580,150,1969,1310,1079850,1078031,1078690
lt,m,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.095625,0.621666667,0.208796296,300,2255,1080000,0.75,1077745,60,1970,225,1079940,1078030,1079775
ma,f,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.121,0.500666667,0.925925926,300,10000,1080000,0.75,1070000,235,5560,4205,1079765,1074440,1075795
mi,f,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.084761905,0.618095238,1.151388889,300,12435,1080000,0.75,1067565,235,8155,4045,1079765,1071845,1075955
Gu,m,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.136732623,109.5,539,394200,0,393661,539,0,0,393661,394200,394200
Hd,f,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.253678336,109.5,1000,394200,0,393200,1000,0,0,393200,394200,394200
Or,f,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.156519533,109.5,617,394200,0,393583,617,0,0,393583,394200,394200
Up,f,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.241755454,109.5,953,394200,0,393247,953,0,0,393247,394200,394200
At,f,SN,palliata,DRY,10800,0.079,7,4,1,2,0.077,0.11,0.69,0.140238295,277.9,1403,1000440,0.4,999037,812,360,231,999628,1000080,1000209
Mi,f,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,0.097357163,277.9,974,1000440,0.5,999466,639,166,169,999801,1000274,1000271
Vn,f,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,0.430010795,277.9,4302,1000440,0.5,996138,720,2126,1456,999720,998314,998984
Vs,f,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,1.029846867,277.9,10303,1000440,0.5,990137,700,8088,1515,999740,992352,998925
Ze,m,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,0.064771501,277.9,648,1000440,0.5,999792,445,49,154,999995,1000391,1000286
