,play.per,,,
ad-im,0.107758620689655,,,
ad-im,0.710922787193974,,,
ad-im,0.00801282051282051,,,
ad-im,0.16812865497076,,,
ad-im,0.123015873015873,,,
ad-im,0.166666666666667,,,
ad-im,0.0854700854700855,,,
ad-im,0,,,
ad-im,0.00852826510721248,,,
ad-im,0.0193916504223522,,,
ad-im,0.279808317089019,,,
ad-im,0.0847750162443145,,,
ad-im,0.161630929174789,,,
ad-im,0.881761695906433,,,
ad-im,0,,,
ad-im,0.252396036387264,,,
ad-im,0.0180717998700455,,,
ad-im,0.028630604288499,,,
ad-im,0.0486529955770004,,,
ad-im,0.277174641468972,,,
ad-im,0.0203726042085511,,,
ad-im,0.0816244471250503,,,
ad-im,0.0526739043023723,,,
ad-im,0.00321672698029755,,,
ad-im,0,,,
ad-im,0,,,
ad-im,0.00871196890497252,,,
ad-im,0.0578703703703704,,,
ad-im,0,,,
ad-im,0.0768518518518519,,,
ad-im,0,,,
ad-im,0,,,
ad-im,0.182314814814815,,,
ad-im,0.182407407407407,,,
ad-im,0.514814814814815,,,
ad-im,0.755092592592593,,,
ad-im,0,,,
ad-im,0,,,
ad-im,0,,,
ad-im,0,,,
ad-im,0.0359841669665347,,,
ad-im,0.0165926992123466,,,
ad-im,0.212506497141258,,,
ad-im,0.808444284514813,,,
ad-im,0.00489784494822278,,,
mix,0.353535353535354,,,
mix,0.326086956521739,,,
mix,0.105676328502415,,,
mix,0.182748538011696,,,
mix,0,,,
mix,0,,,
mix,0.0498575498575499,,,
mix,0.0966183574879227,,,
mix,0,,,
mix,0,,,
mix,0,,,
mix,0,,,
mix,0.510416666666667,,,
mix,0.181992337164751,,,
mix,0,,,
mix,0.0352112676056338,,,
mix,0.17156862745098,,,
mix,0.129310344827586,,,
mix,0,,,
mix,0,,,
mix,0.219298245614035,,,
mix,0,,,
mix,0,,,
mix,0.240384615384615,,,
mix,1.14646464646465,,,
mix,0.101526965562053,,,
mix,0.022843567251462,,,
mix,0.273209064327485,,,
mix,0.118278914879792,,,
mix,0.192292072774529,,,
mix,0.0787849252761533,,,
mix,0.0202038661468486,,,
mix,0.193916504223522,,,
mix,0.0200008122157245,,,
mix,0.0673123781676413,,,
mix,0.00804181745074387,,,
mix,0.0198364830451682,,,
mix,0.0348478756198901,,,
mix,0.0210427556627798,,,
mix,0,,,
mix,0,,,
mix,0.00804181745074387,,,
mix,0.0140731805388018,,,
mix,0.0277442702050663,,,
mix,0.148425925925926,,,
mix,0.0689814814814815,,,
mix,0.122962962962963,,,
mix,0.119722222222222,,,
mix,0.0564814814814815,,,
mix,0.121296296296296,,,
mix,0.0208333333333333,,,
mix,0.389351851851852,,,
mix,0.374537037037037,,,
mix,0,,,
mix,0,,,
mix,0,,,
mix,0,,,
mix,0.0230898404701931,,,
mix,0.016892567270401,,,
mix,0.145535964175763,,,
mix,0.1514333693175,,,
mix,0.0153932269801287,,,
